IdSensore,NomeTipoSensore,UnitaMisura,IdStazione,NomeStazione,Quota,Provincia,Comune,Storico,DataStart,UTM_Nord,UTM_Est,lat,lng
5551,Biossido di Azoto,µg/m³,548,Milano v.Senato,118,MI,Milano,N         ,04/21/1995,5035238,515435,45.470501,9.19746075
5555,Biossido di Azoto,µg/m³,552,Varese v.Vidoletti,425,VA,Varese,N         ,12/24/1991,5075945,484773,45.83690156,8.80393486
5557,Biossido di Azoto,µg/m³,554,Saronno v.Santuario,212,VA,Saronno,N         ,03/28/1997,5052646,502058,45.62735705,9.02640138
5561,Biossido di Azoto,µg/m³,558,Busto Arsizio  Accam,206,VA,Busto Arsizio,N         ,12/06/1998,5047718,487687,45.58289429,8.84216546
5563,Biossido di Azoto,µg/m³,560,Varese v.Copelli,383,VA,Varese,N         ,08/07/2003,5073728,486035,45.8169745,8.82024911
5564,Biossido di Azoto,µg/m³,561,Como v.Cattaneo,202,CO,Como,N         ,02/17/1991,5073500,505203,45.81504217,9.06697886
5567,Biossido di Azoto,µg/m³,564,Erba v. Battisti,279,CO,Erba,N         ,06/13/2009,5072803,517232,45.8085738,9.2217792
5572,Biossido di Azoto,µg/m³,569,Sondrio v.Mazzini,307,SO,Sondrio,N         ,11/01/1993,5113078,567173,46.16797103,9.87014581
5574,Biossido di Azoto,µg/m³,571,Bormio v.Monte Braulio,1225,SO,Bormio,N         ,11/01/1993,5147136,605598,46.46952397,10.37543275
5575,Biossido di Azoto,µg/m³,572,Morbegno v.Cortivacci,262,SO,Morbegno,N         ,01/13/1999,5108901,543736,46.135486,9.56624
5576,Biossido di Azoto,µg/m³,573,Colico v.La Madoneta,229,LC,Colico,N         ,11/05/1996,5109468,529713,46.1381409,9.38468725
5577,Biossido di Azoto,µg/m³,574,Lecco v. Amendola,214,LC,Lecco,N         ,02/17/1991,5077479,530713,45.85019631,9.39558125
5579,Biossido di Azoto,µg/m³,576,Merate v. Madonna di Loreto,279,LC,Merate,N         ,02/18/1991,5060569,531623,45.69795956,9.40619194
5586,Biossido di Azoto,µg/m³,583,Bergamo v.Meucci,249,BG,Bergamo,N         ,06/01/1989,5059922,550116,45.691044,9.64366225
5587,Biossido di Azoto,µg/m³,584,Bergamo v.Garibaldi,249,BG,Bergamo,N         ,06/21/1994,5060449,551482,45.69568669,9.66126061
5591,Biossido di Azoto,µg/m³,588,Tavernola Bergamasca v.Riva di Sotto,191,BG,Tavernola Bergamasca,N         ,09/21/1990,5063058,581311,45.71630489,10.04477436
5595,Biossido di Azoto,µg/m³,592,Treviglio p.zza Insurrezione,191,BG,Treviglio,N         ,06/02/1991,5040815,546236,45.51933533,9.59201917
5598,Biossido di Azoto,µg/m³,595,Filago v.Don Milani,190,BG,Filago,N         ,03/06/1992,5053519,543342,45.63387247,9.55609572
5599,Biossido di Azoto,µg/m³,596,Osio Sotto v.per Levate,182,BG,Osio Sotto,N         ,04/06/2000,5052072,547691,45.62055568,9.61173782
5601,Biossido di Azoto,µg/m³,598,San Rocco al Porto v.Matteotti,50,LO,San Rocco al Porto,N         ,01/24/2002,4992297,555154,45.08199189,9.70079278
5603,Biossido di Azoto,µg/m³,600,Lodi v.Vignati,80,LO,Lodi,N         ,12/30/1999,5017060,538042,45.30601628,9.48527511
5607,Biossido di Azoto,µg/m³,604,Tavazzano con Villavesco v.Cascina Bagnolo,85,LO,Tavazzano con Villavesco,N         ,01/13/2000,5019734,532492,45.33036444,9.41464375
5609,Biossido di Azoto,µg/m³,606,San Giuliano Milanese via Milano,97,MI,San Giuliano Milanese,N         ,01/13/2000,5027003,522127,45.39619767,9.28269897
5610,Biossido di Azoto,µg/m³,607,Abbadia Cerreto v. Fanfulla,64,LO,Abbadia Cerreto,N         ,01/13/2000,5017500,545920,45.30950506,9.58580022
5611,Biossido di Azoto,µg/m³,608,Codogno v.Trento,59,LO,Codogno,N         ,01/13/2000,5000892,554872,45.15937678,9.69815314
5630,Biossido di Zolfo,µg/m³,531,Pioltello Limito,114,MI,Pioltello,N         ,05/07/1989,5036730,525583,45.48363242,9.32736196
5652,Biossido di Zolfo,µg/m³,558,Busto Arsizio  Accam,206,VA,Busto Arsizio,N         ,12/06/1998,5047718,487687,45.58289429,8.84216546
5658,Biossido di Zolfo,µg/m³,552,Varese v.Vidoletti,425,VA,Varese,N         ,12/23/1991,5075945,484773,45.83690156,8.80393486
5665,Biossido di Zolfo,µg/m³,595,Filago v.Don Milani,190,BG,Filago,N         ,12/07/1991,5053519,543342,45.63387247,9.55609572
5670,Biossido di Zolfo,µg/m³,584,Bergamo v.Garibaldi,249,BG,Bergamo,N         ,06/16/1994,5060449,551482,45.69568669,9.66126061
5676,Biossido di Zolfo,µg/m³,561,Como v.Cattaneo,202,CO,Como,N         ,02/17/1991,5073500,505203,45.81504217,9.06697886
5693,Biossido di Zolfo,µg/m³,600,Lodi v.Vignati,80,LO,Lodi,N         ,12/30/1999,5017060,538042,45.30601628,9.48527511
